,Species,Trap,Latitude,Longitude,NumMosquitos,WnvPresent,Datetime,yr,mo,day
1505,CULEX PIPIENS,T148,42.01743,-87.68776899999999,2,0,2007-08-07,2007,8,7
1506,CULEX PIPIENS/RESTUANS,T153,41.907645,-87.760886,3,0,2007-08-07,2007,8,7
1507,CULEX PIPIENS,T153,41.907645,-87.760886,4,0,2007-08-07,2007,8,7
1508,CULEX PIPIENS/RESTUANS,T159,41.732984,-87.649642,9,0,2007-08-07,2007,8,7
1509,CULEX RESTUANS,T159,41.732984,-87.649642,1,0,2007-08-07,2007,8,7
1510,CULEX PIPIENS,T159,41.732984,-87.649642,3,0,2007-08-07,2007,8,7
1511,CULEX TERRITANS,T159,41.732984,-87.649642,2,0,2007-08-07,2007,8,7
1512,CULEX PIPIENS/RESTUANS,T009,41.981964000000005,-87.812827,9,0,2007-08-07,2007,8,7
1513,CULEX RESTUANS,T009,41.981964000000005,-87.812827,1,0,2007-08-07,2007,8,7
1514,CULEX PIPIENS,T009,41.981964000000005,-87.812827,27,0,2007-08-07,2007,8,7
1515,CULEX PIPIENS/RESTUANS,T011,41.944869,-87.832763,28,1,2007-08-07,2007,8,7
1516,CULEX RESTUANS,T011,41.944869,-87.832763,1,0,2007-08-07,2007,8,7
1517,CULEX PIPIENS,T011,41.944869,-87.832763,43,1,2007-08-07,2007,8,7
1518,CULEX PIPIENS/RESTUANS,T016,42.011601,-87.81150600000001,32,0,2007-08-07,2007,8,7
1519,CULEX PIPIENS,T016,42.011601,-87.81150600000001,37,1,2007-08-07,2007,8,7
1520,CULEX PIPIENS,T019,41.94983,-87.69845699999999,1,0,2007-08-07,2007,8,7
1521,CULEX PIPIENS/RESTUANS,T025,41.979243,-87.750938,7,0,2007-08-07,2007,8,7
1522,CULEX PIPIENS,T025,41.979243,-87.750938,3,0,2007-08-07,2007,8,7
1523,CULEX PIPIENS/RESTUANS,T028,41.986921,-87.689778,4,0,2007-08-07,2007,8,7
1524,CULEX PIPIENS,T028,41.986921,-87.689778,2,0,2007-08-07,2007,8,7
1525,CULEX PIPIENS/RESTUANS,T031,41.801497999999995,-87.763416,1,0,2007-08-07,2007,8,7
1526,CULEX PIPIENS,T031,41.801497999999995,-87.763416,3,0,2007-08-07,2007,8,7
1527,CULEX PIPIENS/RESTUANS,T033,41.906638,-87.701431,15,0,2007-08-07,2007,8,7
1528,CULEX PIPIENS,T033,41.906638,-87.701431,10,0,2007-08-07,2007,8,7
1529,CULEX PIPIENS/RESTUANS,T089,41.723195000000004,-87.64997,2,0,2007-08-07,2007,8,7
1530,CULEX PIPIENS,T089,41.723195000000004,-87.64997,2,0,2007-08-07,2007,8,7
1531,CULEX PIPIENS/RESTUANS,T090,41.868077,-87.666901,6,0,2007-08-07,2007,8,7
1532,CULEX RESTUANS,T090,41.868077,-87.666901,5,0,2007-08-07,2007,8,7
1533,CULEX PIPIENS,T090,41.868077,-87.666901,11,0,2007-08-07,2007,8,7
1534,CULEX PIPIENS/RESTUANS,T092,41.869215999999994,-87.627561,24,0,2007-08-07,2007,8,7
1535,CULEX PIPIENS,T092,41.869215999999994,-87.627561,16,0,2007-08-07,2007,8,7
1536,CULEX PIPIENS/RESTUANS,T135,41.662014,-87.72460799999999,2,0,2007-08-07,2007,8,7
1537,CULEX PIPIENS,T135,41.662014,-87.72460799999999,3,0,2007-08-07,2007,8,7
1538,CULEX PIPIENS/RESTUANS,T141,41.961743,-87.76007,1,0,2007-08-07,2007,8,7
1539,CULEX PIPIENS,T141,41.961743,-87.76007,1,0,2007-08-07,2007,8,7
1540,CULEX PIPIENS/RESTUANS,T142,41.953067,-87.776792,5,0,2007-08-07,2007,8,7
1541,CULEX PIPIENS,T142,41.953067,-87.776792,5,0,2007-08-07,2007,8,7
1542,CULEX PIPIENS/RESTUANS,T145,41.878114000000004,-87.629798,13,0,2007-08-07,2007,8,7
1543,CULEX PIPIENS,T145,41.878114000000004,-87.629798,1,0,2007-08-07,2007,8,7
1544,CULEX PIPIENS,T145,41.878114000000004,-87.629798,13,0,2007-08-07,2007,8,7
1545,CULEX TERRITANS,T145,41.878114000000004,-87.629798,1,0,2007-08-07,2007,8,7
1546,CULEX PIPIENS/RESTUANS,T147,41.932094,-87.700117,2,0,2007-08-07,2007,8,7
1547,CULEX PIPIENS,T147,41.932094,-87.700117,2,0,2007-08-07,2007,8,7
1548,CULEX PIPIENS/RESTUANS,T150,42.006858,-87.675919,13,0,2007-08-07,2007,8,7
1549,CULEX PIPIENS,T150,42.006858,-87.675919,3,0,2007-08-07,2007,8,7
1550,CULEX PIPIENS/RESTUANS,T151,41.916265,-87.800515,11,0,2007-08-07,2007,8,7
1551,CULEX PIPIENS,T151,41.916265,-87.800515,3,0,2007-08-07,2007,8,7
1552,CULEX PIPIENS/RESTUANS,T152,41.846075,-87.716277,3,0,2007-08-07,2007,8,7
1553,CULEX PIPIENS,T152,41.846075,-87.716277,3,0,2007-08-07,2007,8,7
1554,CULEX PIPIENS/RESTUANS,T154,41.918704999999996,-87.752329,10,0,2007-08-07,2007,8,7
1555,CULEX RESTUANS,T154,41.918704999999996,-87.752329,1,0,2007-08-07,2007,8,7
1556,CULEX PIPIENS,T154,41.918704999999996,-87.752329,13,0,2007-08-07,2007,8,7
1557,CULEX PIPIENS/RESTUANS,T158,41.682587,-87.707973,29,0,2007-08-07,2007,8,7
1558,CULEX RESTUANS,T158,41.682587,-87.707973,2,0,2007-08-07,2007,8,7
1559,CULEX PIPIENS,T158,41.682587,-87.707973,22,0,2007-08-07,2007,8,7
1560,CULEX PIPIENS/RESTUANS,T162,41.725516999999996,-87.61425799999999,8,0,2007-08-07,2007,8,7
1561,CULEX PIPIENS,T162,41.725516999999996,-87.61425799999999,7,1,2007-08-07,2007,8,7
1562,CULEX PIPIENS/RESTUANS,T218,41.948167,-87.730698,13,0,2007-08-07,2007,8,7
1563,CULEX PIPIENS,T218,41.948167,-87.730698,23,0,2007-08-07,2007,8,7
1564,CULEX PIPIENS/RESTUANS,T220,41.963976,-87.69181,2,0,2007-08-07,2007,8,7
1565,CULEX PIPIENS,T220,41.963976,-87.69181,4,0,2007-08-07,2007,8,7
1566,CULEX PIPIENS/RESTUANS,T001,41.953705,-87.733974,1,0,2007-08-07,2007,8,7
1567,CULEX PIPIENS,T001,41.953705,-87.733974,1,0,2007-08-07,2007,8,7
1568,CULEX PIPIENS/RESTUANS,T003,41.964242,-87.757639,3,0,2007-08-07,2007,8,7
1569,CULEX PIPIENS,T003,41.964242,-87.757639,7,0,2007-08-07,2007,8,7
1570,CULEX PIPIENS/RESTUANS,T006,41.990284,-87.797127,6,0,2007-08-07,2007,8,7
1571,CULEX PIPIENS,T006,41.990284,-87.797127,17,0,2007-08-07,2007,8,7
1572,CULEX PIPIENS/RESTUANS,T008,42.008314,-87.77792099999999,29,0,2007-08-07,2007,8,7
1573,CULEX PIPIENS/RESTUANS,T008,42.008314,-87.77792099999999,40,0,2007-08-07,2007,8,7
1574,CULEX RESTUANS,T008,42.008314,-87.77792099999999,1,0,2007-08-07,2007,8,7
1575,CULEX PIPIENS,T008,42.008314,-87.77792099999999,50,1,2007-08-07,2007,8,7
1576,CULEX PIPIENS,T008,42.008314,-87.77792099999999,20,1,2007-08-07,2007,8,7
1577,CULEX PIPIENS/RESTUANS,T012,41.991429,-87.747113,26,0,2007-08-07,2007,8,7
1578,CULEX PIPIENS,T012,41.991429,-87.747113,23,0,2007-08-07,2007,8,7
1579,CULEX PIPIENS,T034,41.843810999999995,-87.686763,1,0,2007-08-07,2007,8,7
1580,CULEX PIPIENS/RESTUANS,T037,41.921177,-87.79518,15,0,2007-08-07,2007,8,7
1581,CULEX PIPIENS,T037,41.921177,-87.79518,8,0,2007-08-07,2007,8,7
1582,CULEX PIPIENS,T043,41.857402,-87.694991,4,0,2007-08-07,2007,8,7
1583,CULEX PIPIENS/RESTUANS,T085,41.721474,-87.648064,5,0,2007-08-07,2007,8,7
1584,CULEX RESTUANS,T085,41.721474,-87.648064,2,0,2007-08-07,2007,8,7
1585,CULEX PIPIENS,T088,41.869107,-87.69629300000001,1,0,2007-08-07,2007,8,7
1586,CULEX PIPIENS/RESTUANS,T161,41.719059,-87.675088,12,0,2007-08-07,2007,8,7
1587,CULEX PIPIENS,T161,41.719059,-87.675088,9,0,2007-08-07,2007,8,7
1588,CULEX PIPIENS/RESTUANS,T219,41.966986999999996,-87.674677,3,0,2007-08-07,2007,8,7
1589,CULEX PIPIENS,T219,41.966986999999996,-87.674677,5,0,2007-08-07,2007,8,7
1590,CULEX PIPIENS/RESTUANS,T014,41.970248,-87.787992,29,0,2007-08-07,2007,8,7
1591,CULEX PIPIENS,T014,41.970248,-87.787992,44,1,2007-08-07,2007,8,7
1592,CULEX PIPIENS/RESTUANS,T018,42.010412,-87.66214000000001,1,0,2007-08-07,2007,8,7
1593,CULEX PIPIENS/RESTUANS,T030,41.899229999999996,-87.716788,1,0,2007-08-07,2007,8,7
1594,CULEX PIPIENS/RESTUANS,T084,41.692555,-87.598865,6,0,2007-08-07,2007,8,7
1595,CULEX PIPIENS,T084,41.692555,-87.598865,5,0,2007-08-07,2007,8,7
1596,CULEX RESTUANS,T144,41.94016,-87.794896,1,0,2007-08-07,2007,8,7
1597,CULEX PIPIENS,T144,41.94016,-87.794896,8,0,2007-08-07,2007,8,7
1598,CULEX PIPIENS/RESTUANS,T160,41.903002,-87.68826700000001,19,0,2007-08-07,2007,8,7
1599,CULEX RESTUANS,T160,41.903002,-87.68826700000001,1,1,2007-08-07,2007,8,7
1600,CULEX PIPIENS,T160,41.903002,-87.68826700000001,6,0,2007-08-07,2007,8,7
1601,CULEX PIPIENS/RESTUANS,T095,41.704336,-87.70373599999999,1,0,2007-08-07,2007,8,7
1602,CULEX PIPIENS/RESTUANS,T035,41.836644,-87.677737,4,0,2007-08-07,2007,8,7
1603,CULEX RESTUANS,T035,41.836644,-87.677737,1,0,2007-08-07,2007,8,7
1604,CULEX PIPIENS/RESTUANS,T036,41.837084999999995,-87.729384,2,0,2007-08-07,2007,8,7
1605,CULEX PIPIENS/RESTUANS,T039,41.911823999999996,-87.726737,18,0,2007-08-07,2007,8,7
1606,CULEX PIPIENS,T039,41.911823999999996,-87.726737,6,0,2007-08-07,2007,8,7
1607,CULEX PIPIENS/RESTUANS,T060,41.823065,-87.67837800000001,1,0,2007-08-07,2007,8,7
1608,CULEX PIPIENS/RESTUANS,T061,41.801179,-87.679447,13,0,2007-08-07,2007,8,7
1609,CULEX PIPIENS,T061,41.801179,-87.679447,9,0,2007-08-07,2007,8,7
1610,CULEX PIPIENS/RESTUANS,T065,41.778296999999995,-87.752411,29,0,2007-08-07,2007,8,7
1611,CULEX PIPIENS,T065,41.778296999999995,-87.752411,4,0,2007-08-07,2007,8,7
1612,CULEX PIPIENS,T066,41.77166,-87.703047,7,0,2007-08-07,2007,8,7
1613,CULEX PIPIENS/RESTUANS,T067,41.759346,-87.745602,4,0,2007-08-07,2007,8,7
1614,CULEX PIPIENS,T067,41.759346,-87.745602,2,0,2007-08-07,2007,8,7
1615,CULEX PIPIENS/RESTUANS,T069,41.768388,-87.678649,5,0,2007-08-07,2007,8,7
1616,CULEX PIPIENS/RESTUANS,T070,41.797616,-87.797894,5,0,2007-08-07,2007,8,7
1617,CULEX PIPIENS/RESTUANS,T073,41.773215,-87.60088,18,0,2007-08-07,2007,8,7
1618,CULEX PIPIENS,T073,41.773215,-87.60088,9,0,2007-08-07,2007,8,7
1619,CULEX PIPIENS/RESTUANS,T074,41.822536,-87.66634300000001,39,0,2007-08-07,2007,8,7
1620,CULEX RESTUANS,T074,41.822536,-87.66634300000001,3,0,2007-08-07,2007,8,7
1621,CULEX PIPIENS,T074,41.822536,-87.66634300000001,45,0,2007-08-07,2007,8,7
1622,CULEX PIPIENS/RESTUANS,T075,41.799282,-87.585487,7,0,2007-08-07,2007,8,7
1623,CULEX PIPIENS,T075,41.799282,-87.585487,9,0,2007-08-07,2007,8,7
1624,CULEX PIPIENS/RESTUANS,T079,41.766202,-87.562889,2,0,2007-08-07,2007,8,7
1625,CULEX RESTUANS,T079,41.766202,-87.562889,1,0,2007-08-07,2007,8,7
1626,CULEX PIPIENS,T079,41.766202,-87.562889,2,0,2007-08-07,2007,8,7
1627,CULEX PIPIENS/RESTUANS,T080,41.754676,-87.612922,2,0,2007-08-07,2007,8,7
1628,CULEX PIPIENS,T080,41.754676,-87.612922,1,0,2007-08-07,2007,8,7
1629,CULEX PIPIENS/RESTUANS,T081,41.821582,-87.62779599999999,8,0,2007-08-07,2007,8,7
1630,CULEX RESTUANS,T081,41.821582,-87.62779599999999,2,0,2007-08-07,2007,8,7
1631,CULEX PIPIENS,T081,41.821582,-87.62779599999999,7,0,2007-08-07,2007,8,7
1632,CULEX PIPIENS/RESTUANS,T082,41.803422999999995,-87.642984,16,0,2007-08-07,2007,8,7
1633,CULEX PIPIENS,T082,41.803422999999995,-87.642984,8,1,2007-08-07,2007,8,7
1634,CULEX PIPIENS/RESTUANS,T083,41.754292,-87.590773,5,0,2007-08-07,2007,8,7
1635,CULEX PIPIENS,T083,41.754292,-87.590773,9,0,2007-08-07,2007,8,7
1636,CULEX PIPIENS/RESTUANS,T114,41.798697,-87.736812,21,0,2007-08-07,2007,8,7
1637,CULEX PIPIENS/RESTUANS,T155,41.776156,-87.778927,9,0,2007-08-07,2007,8,7
1638,CULEX PIPIENS,T155,41.776156,-87.778927,1,0,2007-08-07,2007,8,7
1639,CULEX PIPIENS/RESTUANS,T063,41.82561,-87.726549,4,0,2007-08-07,2007,8,7
1640,CULEX PIPIENS/RESTUANS,T097,41.644612,-87.60449799999999,18,0,2007-08-07,2007,8,7
1641,CULEX PIPIENS,T097,41.644612,-87.60449799999999,26,0,2007-08-07,2007,8,7
1642,CULEX PIPIENS/RESTUANS,T099,41.733643,-87.55551,1,0,2007-08-07,2007,8,7
1643,CULEX PIPIENS,T099,41.733643,-87.55551,4,0,2007-08-07,2007,8,7
1644,CULEX PIPIENS/RESTUANS,T100,41.717753,-87.531657,13,0,2007-08-07,2007,8,7
1645,CULEX PIPIENS,T100,41.717753,-87.531657,10,0,2007-08-07,2007,8,7
1646,CULEX PIPIENS/RESTUANS,T102,41.750498,-87.605294,25,0,2007-08-07,2007,8,7
1647,CULEX RESTUANS,T102,41.750498,-87.605294,1,0,2007-08-07,2007,8,7
1648,CULEX PIPIENS,T102,41.750498,-87.605294,35,0,2007-08-07,2007,8,7
1649,CULEX PIPIENS/RESTUANS,T027,41.984809000000006,-87.728492,11,0,2007-08-07,2007,8,7
1650,CULEX PIPIENS,T027,41.984809000000006,-87.728492,1,0,2007-08-07,2007,8,7
1651,CULEX PIPIENS/RESTUANS,T157,41.825902,-87.667827,1,0,2007-08-07,2007,8,7
1652,CULEX RESTUANS,T157,41.825902,-87.667827,1,0,2007-08-07,2007,8,7
1653,CULEX PIPIENS/RESTUANS,T115,41.673408,-87.599862,30,1,2007-08-08,2007,8,8
1654,CULEX PIPIENS/RESTUANS,T115,41.673408,-87.599862,50,0,2007-08-08,2007,8,8
1655,CULEX PIPIENS/RESTUANS,T115,41.673408,-87.599862,50,0,2007-08-08,2007,8,8
1656,CULEX PIPIENS/RESTUANS,T115,41.673408,-87.599862,50,0,2007-08-08,2007,8,8
1657,CULEX PIPIENS/RESTUANS,T115,41.673408,-87.599862,40,0,2007-08-08,2007,8,8
1658,CULEX PIPIENS/RESTUANS,T115,41.673408,-87.599862,50,0,2007-08-08,2007,8,8
1659,CULEX PIPIENS/RESTUANS,T115,41.673408,-87.599862,45,0,2007-08-08,2007,8,8
1660,CULEX PIPIENS,T115,41.673408,-87.599862,50,0,2007-08-08,2007,8,8
1661,CULEX PIPIENS,T115,41.673408,-87.599862,50,0,2007-08-08,2007,8,8
1662,CULEX PIPIENS,T115,41.673408,-87.599862,50,0,2007-08-08,2007,8,8
1663,CULEX PIPIENS,T115,41.673408,-87.599862,50,0,2007-08-08,2007,8,8
1664,CULEX PIPIENS,T115,41.673408,-87.599862,50,0,2007-08-08,2007,8,8
1665,CULEX PIPIENS,T115,41.673408,-87.599862,50,0,2007-08-08,2007,8,8
1666,CULEX PIPIENS,T115,41.673408,-87.599862,50,0,2007-08-08,2007,8,8
1667,CULEX PIPIENS,T115,41.673408,-87.599862,50,0,2007-08-08,2007,8,8
1668,CULEX PIPIENS,T115,41.673408,-87.599862,50,0,2007-08-08,2007,8,8
1669,CULEX PIPIENS,T115,41.673408,-87.599862,50,0,2007-08-08,2007,8,8
1670,CULEX PIPIENS,T115,41.673408,-87.599862,50,0,2007-08-08,2007,8,8
1671,CULEX PIPIENS,T115,41.673408,-87.599862,30,1,2007-08-08,2007,8,8
1672,CULEX PIPIENS,T115,41.673408,-87.599862,50,0,2007-08-08,2007,8,8
1673,CULEX PIPIENS,T115,41.673408,-87.599862,50,0,2007-08-08,2007,8,8
1674,CULEX PIPIENS,T115,41.673408,-87.599862,50,0,2007-08-08,2007,8,8
1675,CULEX PIPIENS,T115,41.673408,-87.599862,50,0,2007-08-08,2007,8,8
1676,CULEX PIPIENS,T115,41.673408,-87.599862,50,0,2007-08-08,2007,8,8
1677,CULEX PIPIENS,T115,41.673408,-87.599862,50,0,2007-08-08,2007,8,8
1678,CULEX PIPIENS,T115,41.673408,-87.599862,49,0,2007-08-08,2007,8,8
1679,CULEX PIPIENS,T115,41.673408,-87.599862,50,0,2007-08-08,2007,8,8
1680,CULEX PIPIENS,T115,41.673408,-87.599862,50,0,2007-08-08,2007,8,8
1681,CULEX PIPIENS,T115,41.673408,-87.599862,44,0,2007-08-08,2007,8,8
1682,CULEX PIPIENS,T115,41.673408,-87.599862,50,0,2007-08-08,2007,8,8
1683,CULEX PIPIENS,T115,41.673408,-87.599862,50,0,2007-08-08,2007,8,8
1684,CULEX PIPIENS,T115,41.673408,-87.599862,50,0,2007-08-08,2007,8,8
1685,CULEX PIPIENS,T115,41.673408,-87.599862,37,1,2007-08-08,2007,8,8
1686,CULEX PIPIENS,T115,41.673408,-87.599862,50,0,2007-08-08,2007,8,8
1687,CULEX PIPIENS/RESTUANS,T138,41.726465000000005,-87.585413,50,0,2007-08-08,2007,8,8
1688,CULEX PIPIENS/RESTUANS,T138,41.726465000000005,-87.585413,2,0,2007-08-08,2007,8,8
1689,CULEX PIPIENS/RESTUANS,T138,41.726465000000005,-87.585413,32,0,2007-08-08,2007,8,8
1690,CULEX PIPIENS/RESTUANS,T138,41.726465000000005,-87.585413,50,0,2007-08-08,2007,8,8
1691,CULEX PIPIENS/RESTUANS,T138,41.726465000000005,-87.585413,50,0,2007-08-08,2007,8,8
1692,CULEX PIPIENS/RESTUANS,T138,41.726465000000005,-87.585413,50,0,2007-08-08,2007,8,8
1693,CULEX PIPIENS,T138,41.726465000000005,-87.585413,50,0,2007-08-08,2007,8,8
1694,CULEX PIPIENS,T138,41.726465000000005,-87.585413,50,0,2007-08-08,2007,8,8
1695,CULEX PIPIENS,T138,41.726465000000005,-87.585413,50,0,2007-08-08,2007,8,8
1696,CULEX PIPIENS,T138,41.726465000000005,-87.585413,50,0,2007-08-08,2007,8,8
1697,CULEX PIPIENS,T138,41.726465000000005,-87.585413,8,0,2007-08-08,2007,8,8
1698,CULEX PIPIENS,T138,41.726465000000005,-87.585413,50,0,2007-08-08,2007,8,8
1699,CULEX PIPIENS,T138,41.726465000000005,-87.585413,50,1,2007-08-08,2007,8,8
1700,CULEX PIPIENS,T138,41.726465000000005,-87.585413,50,0,2007-08-08,2007,8,8
1701,CULEX PIPIENS,T138,41.726465000000005,-87.585413,50,0,2007-08-08,2007,8,8
1702,CULEX PIPIENS,T138,41.726465000000005,-87.585413,50,0,2007-08-08,2007,8,8
1703,CULEX PIPIENS,T138,41.726465000000005,-87.585413,50,0,2007-08-08,2007,8,8
1704,CULEX PIPIENS,T138,41.726465000000005,-87.585413,50,0,2007-08-08,2007,8,8
1705,CULEX PIPIENS,T138,41.726465000000005,-87.585413,50,0,2007-08-08,2007,8,8
1706,CULEX PIPIENS,T138,41.726465000000005,-87.585413,50,0,2007-08-08,2007,8,8
1707,CULEX PIPIENS,T138,41.726465000000005,-87.585413,50,0,2007-08-08,2007,8,8
1708,CULEX PIPIENS,T138,41.726465000000005,-87.585413,50,0,2007-08-08,2007,8,8
1709,CULEX PIPIENS,T138,41.726465000000005,-87.585413,50,1,2007-08-08,2007,8,8
1710,CULEX PIPIENS,T138,41.726465000000005,-87.585413,50,0,2007-08-08,2007,8,8
1711,CULEX PIPIENS,T138,41.726465000000005,-87.585413,50,0,2007-08-08,2007,8,8
1712,CULEX PIPIENS,T138,41.726465000000005,-87.585413,50,0,2007-08-08,2007,8,8
1713,CULEX PIPIENS,T138,41.726465000000005,-87.585413,50,0,2007-08-08,2007,8,8
1714,CULEX PIPIENS,T138,41.726465000000005,-87.585413,50,0,2007-08-08,2007,8,8
1715,CULEX PIPIENS,T138,41.726465000000005,-87.585413,50,0,2007-08-08,2007,8,8
1716,CULEX PIPIENS,T138,41.726465000000005,-87.585413,50,0,2007-08-08,2007,8,8
1717,CULEX PIPIENS,T138,41.726465000000005,-87.585413,50,0,2007-08-08,2007,8,8
1718,CULEX PIPIENS,T138,41.726465000000005,-87.585413,50,0,2007-08-08,2007,8,8
1719,CULEX PIPIENS,T138,41.726465000000005,-87.585413,50,0,2007-08-08,2007,8,8
1720,CULEX PIPIENS,T138,41.726465000000005,-87.585413,50,0,2007-08-08,2007,8,8
1721,CULEX PIPIENS,T138,41.726465000000005,-87.585413,50,0,2007-08-08,2007,8,8
1722,CULEX PIPIENS,T138,41.726465000000005,-87.585413,50,0,2007-08-08,2007,8,8
1723,CULEX PIPIENS,T138,41.726465000000005,-87.585413,50,0,2007-08-08,2007,8,8
1724,CULEX PIPIENS,T138,41.726465000000005,-87.585413,50,0,2007-08-08,2007,8,8
1725,CULEX PIPIENS,T138,41.726465000000005,-87.585413,50,0,2007-08-08,2007,8,8
1726,CULEX PIPIENS,T138,41.726465000000005,-87.585413,50,0,2007-08-08,2007,8,8
1727,CULEX PIPIENS/RESTUANS,T107,41.729669,-87.582699,10,0,2007-08-08,2007,8,8
1728,CULEX PIPIENS,T107,41.729669,-87.582699,9,0,2007-08-08,2007,8,8
1729,CULEX PIPIENS/RESTUANS,T128,41.704572,-87.56566600000001,49,0,2007-08-08,2007,8,8
1730,CULEX PIPIENS/RESTUANS,T128,41.704572,-87.56566600000001,31,1,2007-08-08,2007,8,8
1731,CULEX RESTUANS,T128,41.704572,-87.56566600000001,16,0,2007-08-08,2007,8,8
1732,CULEX PIPIENS,T128,41.704572,-87.56566600000001,50,0,2007-08-08,2007,8,8
1733,CULEX PIPIENS,T128,41.704572,-87.56566600000001,18,0,2007-08-08,2007,8,8
1734,CULEX PIPIENS,T128,41.704572,-87.56566600000001,41,0,2007-08-08,2007,8,8
1735,CULEX PIPIENS,T128,41.704572,-87.56566600000001,46,0,2007-08-08,2007,8,8
1736,CULEX PIPIENS,T128,41.704572,-87.56566600000001,50,0,2007-08-08,2007,8,8
1737,CULEX PIPIENS,T128,41.704572,-87.56566600000001,50,0,2007-08-08,2007,8,8
1738,CULEX PIPIENS,T128,41.704572,-87.56566600000001,50,0,2007-08-08,2007,8,8
1739,CULEX PIPIENS/RESTUANS,T103,41.702723999999996,-87.536497,42,0,2007-08-08,2007,8,8
1740,CULEX PIPIENS/RESTUANS,T103,41.702723999999996,-87.536497,49,0,2007-08-08,2007,8,8
1741,CULEX PIPIENS/RESTUANS,T103,41.702723999999996,-87.536497,46,0,2007-08-08,2007,8,8
1742,CULEX RESTUANS,T103,41.702723999999996,-87.536497,2,0,2007-08-08,2007,8,8
1743,CULEX PIPIENS,T103,41.702723999999996,-87.536497,50,0,2007-08-08,2007,8,8
1744,CULEX PIPIENS,T103,41.702723999999996,-87.536497,10,0,2007-08-08,2007,8,8
1745,CULEX PIPIENS,T103,41.702723999999996,-87.536497,50,1,2007-08-08,2007,8,8
1746,CULEX PIPIENS/RESTUANS,T013,41.923738,-87.785288,8,0,2007-08-09,2007,8,9
1747,CULEX RESTUANS,T013,41.923738,-87.785288,5,0,2007-08-09,2007,8,9
1748,CULEX PIPIENS,T013,41.923738,-87.785288,11,0,2007-08-09,2007,8,9
1749,CULEX PIPIENS,T138,41.726465000000005,-87.585413,25,0,2007-08-09,2007,8,9
1750,CULEX PIPIENS/RESTUANS,T200,41.678618,-87.559308,12,0,2007-08-09,2007,8,9
1751,CULEX PIPIENS/RESTUANS,T200,41.678618,-87.559308,50,0,2007-08-09,2007,8,9
1752,CULEX PIPIENS/RESTUANS,T200,41.678618,-87.559308,50,0,2007-08-09,2007,8,9
1753,CULEX PIPIENS/RESTUANS,T200,41.678618,-87.559308,3,0,2007-08-09,2007,8,9
1754,CULEX PIPIENS,T200,41.678618,-87.559308,16,0,2007-08-09,2007,8,9
1755,CULEX PIPIENS,T200,41.678618,-87.559308,34,0,2007-08-09,2007,8,9
1756,CULEX PIPIENS,T200,41.678618,-87.559308,50,0,2007-08-09,2007,8,9
1757,CULEX TERRITANS,T200,41.678618,-87.559308,8,0,2007-08-09,2007,8,9
1758,CULEX TERRITANS,T200,41.678618,-87.559308,11,0,2007-08-09,2007,8,9
1759,CULEX PIPIENS/RESTUANS,T206,41.737052,-87.54306700000001,1,0,2007-08-09,2007,8,9
1760,CULEX PIPIENS,T206,41.737052,-87.54306700000001,1,0,2007-08-09,2007,8,9
1761,CULEX PIPIENS/RESTUANS,T209,41.740641,-87.546587,39,0,2007-08-09,2007,8,9
1762,CULEX RESTUANS,T209,41.740641,-87.546587,1,0,2007-08-09,2007,8,9
1763,CULEX PIPIENS,T209,41.740641,-87.546587,41,1,2007-08-09,2007,8,9
1764,CULEX PIPIENS/RESTUANS,T212,41.680946,-87.535198,3,0,2007-08-09,2007,8,9
1765,CULEX PIPIENS/RESTUANS,T212,41.680946,-87.535198,50,0,2007-08-09,2007,8,9
1766,CULEX PIPIENS,T212,41.680946,-87.535198,36,0,2007-08-09,2007,8,9
1767,CULEX TERRITANS,T212,41.680946,-87.535198,18,0,2007-08-09,2007,8,9
1768,CULEX PIPIENS/RESTUANS,T215,41.686398,-87.531635,25,0,2007-08-09,2007,8,9
1769,CULEX PIPIENS,T215,41.686398,-87.531635,7,0,2007-08-09,2007,8,9
1770,CULEX SALINARIUS,T215,41.686398,-87.531635,1,0,2007-08-09,2007,8,9
1771,CULEX TERRITANS,T215,41.686398,-87.531635,1,0,2007-08-09,2007,8,9
1772,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,41,1,2007-08-15,2007,8,15
1773,CULEX RESTUANS,T002,41.95469,-87.800991,3,0,2007-08-15,2007,8,15
1774,CULEX PIPIENS,T002,41.95469,-87.800991,16,0,2007-08-15,2007,8,15
1775,CULEX PIPIENS,T002,41.95469,-87.800991,16,0,2007-08-15,2007,8,15
1776,CULEX PIPIENS/RESTUANS,T007,41.994991,-87.769279,4,0,2007-08-15,2007,8,15
1777,CULEX PIPIENS/RESTUANS,T015,41.974089,-87.824812,25,0,2007-08-15,2007,8,15
1778,CULEX RESTUANS,T015,41.974089,-87.824812,2,0,2007-08-15,2007,8,15
1779,CULEX PIPIENS,T015,41.974089,-87.824812,11,1,2007-08-15,2007,8,15
1780,CULEX PIPIENS/RESTUANS,T045,41.9216,-87.666455,17,0,2007-08-15,2007,8,15
1781,CULEX PIPIENS/RESTUANS,T045,41.9216,-87.666455,42,1,2007-08-15,2007,8,15
1782,CULEX PIPIENS/RESTUANS,T045,41.9216,-87.666455,49,0,2007-08-15,2007,8,15
1783,CULEX PIPIENS,T045,41.9216,-87.666455,50,0,2007-08-15,2007,8,15
1784,CULEX PIPIENS,T045,41.9216,-87.666455,17,0,2007-08-15,2007,8,15
