,Station,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,SnowFall,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,Datetime,yr,mo,day
486,1,75,60,68,-3,58,61,0.0,0.58,29.08,29.77,7.3,31,9.7,2008-06-29,2008,6,29
488,1,80,59,70,-2,50,58,0.0,0.00,29.28,29.98,6.0,34,9.6,2008-06-30,2008,6,30
490,1,83,58,71,-1,51,60,0.0,0.00,29.24,29.97,8.1,24,8.0,2008-07-01,2008,7,1
492,1,87,63,75, 3,62,66,0.0,0.20,29.09,29.79,8.7,23,13.2,2008-07-02,2008,7,2
494,1,71,55,63,-9,51,57,0.0,  T,29.34,30.04,11.6,3,12.0,2008-07-03,2008,7,3
496,1,76,52,64,-8,50,57,0.0,0.00,29.35,30.06,6.0,5,6.6,2008-07-04,2008,7,4
498,1,80,54,67,-5,52,59,0.0,0.00,29.31,30.03,4.6,7,7.0,2008-07-05,2008,7,5
500,1,87,59,73, 1,57,65,0.0,0.00,29.21,29.94,9.3,19,9.4,2008-07-06,2008,7,6
502,1,87,71,79, 7,67,71,0.0,0.03,29.16,29.87,10.9,22,11.9,2008-07-07,2008,7,7
504,1,85,70,78, 5,67,71,0.0,0.03,29.10,29.81,7.8,26,9.1,2008-07-08,2008,7,8
506,1,85,67,76, 3,55,63,0.0,  T,29.26,29.95,9.5,31,10.3,2008-07-09,2008,7,9
508,1,82,64,73, 0,63,66,0.0,0.72,29.26,29.99,8.5,23,9.2,2008-07-10,2008,7,10
510,1,88,64,76, 3,65,69,0.0,0.34,29.23,29.97,5.2,20,8.4,2008-07-11,2008,7,11
512,1,81,65,73, 0,63,66,0.0,0.73,29.19,29.89,7.7,26,10.3,2008-07-12,2008,7,12
514,1,79,62,71,-2,54,61,0.0,0.00,29.12,29.84,12.1,27,12.4,2008-07-13,2008,7,13
516,1,84,62,73, 0,54,62,0.0,0.00,29.22,29.92,4.5,29,7.8,2008-07-14,2008,7,14
518,1,90,61,76, 2,62,68,0.0,0.00,29.30,30.00,6.8,23,7.4,2008-07-15,2008,7,15
520,1,90,71,81, 7,66,70,0.0,0.00,29.39,30.09,5.0,23,7.2,2008-07-16,2008,7,16
522,1,89,71,80, 6,66,71,0.0,0.00,29.33,30.05,8.6,22,9.0,2008-07-17,2008,7,17
524,1,86,74,80, 6,68,72,0.0,0.04,29.24,29.95,2.6,22,5.4,2008-07-18,2008,7,18
526,1,78,67,73,-1,68,69,0.0,1.61,29.19,29.91,2.0,33,5.8,2008-07-19,2008,7,19
528,1,86,68,77, 3,68,71,0.0,0.74,29.20,29.91,4.5,25,5.7,2008-07-20,2008,7,20
530,1,83,68,76, 2,65,68,0.0,0.13,29.21,29.92,3.3,3,7.4,2008-07-21,2008,7,21
532,1,77,63,70,-4,59,64,0.0,  T,29.31,30.00,8.2,3,8.7,2008-07-22,2008,7,22
534,1,81,60,71,-3,52,60,0.0,0.00,29.39,30.10,7.6,2,8.5,2008-07-23,2008,7,23
536,1,82,59,71,-3,53,61,0.0,0.00,29.33,30.05,3.9,24,4.4,2008-07-24,2008,7,24
538,1,82,61,72,-2,63,67,0.0,0.00,29.26,29.99,5.5,23,6.9,2008-07-25,2008,7,25
540,1,84,65,75, 1,58,65,0.0,0.00,29.22,29.94,8.5,31,9.1,2008-07-26,2008,7,26
542,1,83,62,73,-1,58,64,0.0,0.00,29.16,29.89,5.9,24,6.7,2008-07-27,2008,7,27
544,1,85,66,76, 2,63,67,0.0,0.00,29.16,29.87,4.0,7,6.1,2008-07-28,2008,7,28
546,1,88,65,77, 3,67,70,0.0,0.05,29.14,29.85,6.4,20,7.9,2008-07-29,2008,7,29
548,1,89,72,81, 7,65,70,0.0,0.00,29.04,29.75,7.8,27,8.6,2008-07-30,2008,7,30
550,1,89,72,81, 7,67,70,0.0,0.14,29.06,29.76,4.9,27,5.8,2008-07-31,2008,7,31
552,1,89,68,79, 6,68,72,0.0,1.05,29.09,29.79,3.1,31,5.7,2008-08-01,2008,8,1
554,1,81,65,73, 0,59,65,0.0,0.00,29.24,29.93,8.4,3,9.2,2008-08-02,2008,8,2
556,1,84,61,73, 0,61,66,0.0,0.00,29.24,29.96,5.3,18,6.0,2008-08-03,2008,8,3
558,1,87,70,79, 6,68,70,  T,2.43,29.18,29.90,3.1,18,9.0,2008-08-04,2008,8,4
560,1,87,69,78, 5,67,71,0.0,0.00,29.24,29.93,6.2,31,7.4,2008-08-05,2008,8,5
562,1,84,67,76, 3,60,66,0.0,0.00,29.29,30.00,6.8,30,8.1,2008-08-06,2008,8,6
564,1,82,64,73, 0,56,63,0.0,0.00,29.26,29.98,7.8,34,9.4,2008-08-07,2008,8,7
566,1,79,63,71,-2,54,61,0.0,0.00,29.29,30.01,4.5,2,7.4,2008-08-08,2008,8,8
568,1,80,62,71,-2,58,62,0.0,  T,29.20,29.92,2.6,31,9.0,2008-08-09,2008,8,9
570,1,74,58,66,-7,52,58,0.0,0.00,29.31,30.02,8.4,2,9.0,2008-08-10,2008,8,10
572,1,77,59,68,-5,57,61,0.0,0.00,29.30,30.02,3.9,5,6.3,2008-08-11,2008,8,11
574,1,77,61,69,-4,57,62,0.0,0.00,29.17,29.90,3.3,10,3.8,2008-08-12,2008,8,12
576,1,79,66,73, 0,59,63,0.0,0.06,29.11,29.84,3.0,7,4.6,2008-08-13,2008,8,13
578,1,79,63,71,-1,60,64,0.0,0.00,29.23,29.93,7.3,3,7.9,2008-08-14,2008,8,14
580,1,78,61,70,-2,54,61,0.0,0.00,29.44,30.13,6.9,3,7.9,2008-08-15,2008,8,15
582,1,83,58,71,-1,53,61,0.0,0.00,29.40,30.13,5.7,29,6.5,2008-08-16,2008,8,16
584,1,84,63,74, 2,60,65,0.0,0.00,29.28,30.01,7.9,26,8.0,2008-08-17,2008,8,17
586,1,85,65,75, 3,57,64,0.0,0.00,29.26,29.98,7.2,27,7.4,2008-08-18,2008,8,18
588,1,82,63,73, 2,64,67,0.0,0.00,29.38,30.08,5.9,4,6.7,2008-08-19,2008,8,19
590,1,81,65,73, 2,60,65,0.0,0.00,29.40,30.12,6.0,9,7.4,2008-08-20,2008,8,20
592,1,82,68,75, 4,61,66,0.0,  T,29.31,30.03,6.5,15,8.4,2008-08-21,2008,8,21
594,1,83,72,78, 7,68,71,0.0,0.09,29.32,30.03,12.7,19,12.8,2008-08-22,2008,8,22
596,1,87,68,78, 7,66,70,0.0,0.00,29.31,30.02,7.6,25,9.4,2008-08-23,2008,8,23
598,1,77,63,70,-1,57,62,0.0,0.00,29.34,30.05,7.7,3,9.7,2008-08-24,2008,8,24
600,1,74,64,69,-1,54,60,0.0,0.00,29.36,30.08,11.1,5,11.4,2008-08-25,2008,8,25
602,1,76,61,69,-1,54,60,0.0,0.00,29.29,30.03,7.7,7,8.4,2008-08-26,2008,8,26
604,1,83,61,72, 2,56,63,0.0,0.00,29.20,29.93,4.6,7,5.9,2008-08-27,2008,8,27
606,1,80,63,72, 2,64,67,0.0,0.06,29.10,29.82,5.7,19,6.7,2008-08-28,2008,8,28
608,1,85,64,75, 5,58,65,0.0,0.04,29.24,29.93,3.5,35,6.5,2008-08-29,2008,8,29
610,1,87,56,72, 2,55,62,0.0,0.00,29.39,30.09,2.6,24,3.8,2008-08-30,2008,8,30
612,1,90,60,75, 6,56,64,0.0,0.00,29.41,30.13,4.8,13,5.4,2008-08-31,2008,8,31
614,1,90,62,76, 8,54,63,0.0,0.00,29.37,30.09,7.0,14,7.7,2008-09-01,2008,9,1
616,1,94,65,80,12,61,68,0.0,0.00,29.31,30.02,3.2,21,4.4,2008-09-02,2008,9,2
618,1,77,66,72, 4,60,64,0.0,0.02,29.31,30.02,9.8,1,10.4,2008-09-03,2008,9,3
620,1,67,61,64,-4,61,62,0.0,2.90,29.08,29.82,11.6,3,12.4,2008-09-04,2008,9,4
622,1,70,57,64,-3,56,59,0.0,0.00,29.22,29.93,5.9,34,6.9,2008-09-05,2008,9,5
624,1,74,53,64,-3,54,58,0.0,0.01,29.28,29.98,4.9,27,5.3,2008-09-06,2008,9,6
626,1,74,55,65,-2,51,57,0.0,0.00,29.35,30.06,6.4,26,6.6,2008-09-07,2008,9,7
628,1,67,52,60,-6,52,55,0.0,1.23,29.41,30.11,4.6,34,6.2,2008-09-08,2008,9,8
630,1,69,49,59,-7,45,52,0.0,0.00,29.45,30.17,3.9,36,6.4,2008-09-09,2008,9,9
632,1,72,48,60,-6,48,54,0.0,0.00,29.47,30.21,4.3,14,5.1,2008-09-10,2008,9,10
634,1,79,55,67, 2,57,61,0.0,  T,29.33,30.08,8.9,18,9.8,2008-09-11,2008,9,11
636,1,73,69,71, 6,67,68,0.0,0.37,29.22,29.96,6.0,22,6.8,2008-09-12,2008,9,12
638,1,75,68,72, 7,69,70,0.0,6.64,28.97,29.71,6.4,21,9.1,2008-09-13,2008,9,13
640,1,72,58,65, 1,61,62,0.0,1.44,28.97,29.67,7.7,31,10.1,2008-09-14,2008,9,14
642,1,63,53,58,-6,51,55,0.0,  T,29.41,30.10,5.7,34,6.1,2008-09-15,2008,9,15
644,1,71,49,60,-4,50,55,0.0,0.00,29.47,30.19,5.3,23,5.8,2008-09-16,2008,9,16
646,1,82,57,70, 6,56,60,0.0,0.00,29.46,30.18,2.1,29,7.0,2008-09-17,2008,9,17
648,1,74,56,65, 1,55,60,0.0,0.00,29.56,30.28,6.1,9,7.2,2008-09-18,2008,9,18
650,1,77,54,66, 3,54,59,0.0,0.00,29.47,30.20,5.8,19,6.0,2008-09-19,2008,9,19
652,1,82,56,69, 7,57,61,0.0,0.00,29.46,30.17,1.7,16,2.9,2008-09-20,2008,9,20
654,1,80,58,69, 7,61,64,0.0,0.00,29.55,30.26,3.8,5,4.2,2008-09-21,2008,9,21
656,1,81,61,71, 9,59,64,0.0,0.00,29.59,30.31,6.9,11,8.0,2008-09-22,2008,9,22
658,1,82,59,71,10,57,62,0.0,0.00,29.56,30.29,7.0,15,7.7,2008-09-23,2008,9,23
660,1,82,57,70, 9,59,63,0.0,0.20,29.54,30.27,2.6,23,4.6,2008-09-24,2008,9,24
662,1,77,63,70, 9,61,64,0.0,0.00,29.54,30.27,6.9,4,7.5,2008-09-25,2008,9,25
664,1,79,59,69, 9,55,60,0.0,0.00,29.42,30.16,3.0,6,4.3,2008-09-26,2008,9,26
666,1,81,53,67, 7,54,60,0.0,0.00,29.33,30.06,1.0,3,2.7,2008-09-27,2008,9,27
668,1,68,57,63, 4,57,60,0.0,0.00,29.41,30.13,7.2,4,7.8,2008-09-28,2008,9,28
670,1,64,54,59, 0,55,57,0.0,0.82,29.26,30.00,3.5,33,4.8,2008-09-29,2008,9,29
672,1,59,48,54,-5,44,49,0.0,0.00,29.21,29.95,11.4,31,11.5,2008-09-30,2008,9,30
674,1,61,46,54,-4,40,47,0.0,0.00,29.24,29.97,11.2,33,11.1,2008-10-01,2008,10,1
676,1,61,42,52,-6,40,47,0.0,0.00,29.18,29.91,8.7,28,9.2,2008-10-02,2008,10,2
678,1,60,44,52,-5,42,47,0.0,0.01,29.34,30.05,6.5,3,7.7,2008-10-03,2008,10,3
680,1,61,38,50,-7,38,45,0.0,0.00,29.51,30.23,3.2,11,4.4,2008-10-04,2008,10,4
682,1,61,41,51,-6,43,48,0.0,0.06,29.51,30.25,5.6,11,6.6,2008-10-05,2008,10,5
684,1,69,54,62, 6,47,54,0.0,0.00,29.49,30.23,10.5,11,10.7,2008-10-06,2008,10,6
686,1,63,56,60, 4,52,56,0.0,0.80,29.24,30.01,10.3,13,11.3,2008-10-07,2008,10,7
688,1,64,50,57, 1,51,54,0.0,0.19,29.13,29.85,7.5,26,8.1,2008-10-08,2008,10,8
690,1,69,47,58, 3,38,49,0.0,0.00,29.36,30.05,5.5,29,5.8,2008-10-09,2008,10,9
692,1,72,42,57, 2,42,50,0.0,0.00,29.47,30.18,4.8,11,6.7,2008-10-10,2008,10,10
694,1,79,51,65,11,50,57,0.0,0.00,29.52,30.24,4.2,14,5.0,2008-10-11,2008,10,11
696,1,84,57,71,17,56,61,0.0,0.00,29.55,30.27,4.3,15,5.1,2008-10-12,2008,10,12
698,1,77,61,69,16,58,63,0.0,0.00,29.47,30.21,7.7,20,8.1,2008-10-13,2008,10,13
700,1,69,53,61, 8,43,51,0.0,  T,29.49,30.22,2.0,30,6.8,2008-10-14,2008,10,14
702,1,63,47,55, 2,50,53,0.0,0.30,29.34,30.06,4.2,32,6.3,2008-10-15,2008,10,15
704,1,59,43,51,-1,38,44,0.0,0.00,29.52,30.25,6.1,35,7.5,2008-10-16,2008,10,16
706,1,57,43,50,-2,39,44,0.0,0.00,29.53,30.26,6.2,36,7.2,2008-10-17,2008,10,17
708,1,60,43,52, 1,40,45,0.0,0.05,29.58,30.32,2.1,7,6.1,2008-10-18,2008,10,18
710,1,62,40,51, 0,37,45,0.0,0.00,29.49,30.24,12.0,19,12.4,2008-10-19,2008,10,19
712,1,55,43,49,-1,42,46,0.0,0.18,29.48,30.21,4.0,31,7.6,2008-10-20,2008,10,20
714,1,55,38,47,-3,35,42,0.0,0.00,29.64,30.37,7.1,2,8.7,2008-10-21,2008,10,21
716,1,52,35,44,-6,30,40,0.0,0.00,29.65,30.39,12.1,12,13.1,2008-10-22,2008,10,22
718,1,58,41,50, 1,36,44,0.0,0.16,29.50,30.27,11.5,12,11.8,2008-10-23,2008,10,23
720,1,54,44,49, 0,44,47,0.0,0.32,29.18,29.96,5.3,19,6.1,2008-10-24,2008,10,24
722,1,53,43,48, 0,40,44,0.0,  T,29.02,29.77,11.9,22,12.3,2008-10-25,2008,10,25
724,1,56,37,47,-1,32,41,  T,  T,29.10,29.80,17.2,27,17.8,2008-10-26,2008,10,26
726,1,47,33,40,-8,27,35,  T,  T,29.51,30.20,13.7,31,14.4,2008-10-27,2008,10,27
728,1,45,31,38,-9,23,33,0.0,0.00,29.54,30.29,10.5,30,10.9,2008-10-28,2008,10,28
730,1,51,32,42,-5,24,34,0.0,0.00,29.47,30.21,3.7,32,6.2,2008-10-29,2008,10,29
732,1,62,31,47, 1,32,41,0.0,0.00,29.57,30.31,10.5,19,10.4,2008-10-30,2008,10,30
734,1,70,48,59,13,46,51,0.0,0.00,29.57,30.30,5.7,22,7.4,2008-10-31,2008,10,31
736,1,60,46,53, 0,40,47,0.0,0.02,29.26,29.98,8.4,29,8.5,2009-05-01,2009,5,1
738,1,66,44,55, 1,33,45,0.0,0.00,29.21,29.94,8.8,26,9.2,2009-05-02,2009,5,2
740,1,70,43,57, 3,34,47,0.0,0.00,29.19,29.92,3.9,26,4.9,2009-05-03,2009,5,3
742,1,70,43,57, 3,34,47,0.0,0.00,29.31,30.02,6.5,9,7.6,2009-05-04,2009,5,4
744,1,71,49,60, 5,40,50,0.0,0.00,29.22,29.95,5.5,13,6.0,2009-05-05,2009,5,5
746,1,75,51,63, 8,51,55,0.0,0.67,29.05,29.79,6.5,19,8.1,2009-05-06,2009,5,6
748,1,77,56,67,12,52,57,0.0,0.19,29.01,29.73,8.5,25,10.3,2009-05-07,2009,5,7
750,1,77,53,65, 9,53,58,0.0,0.02,28.94,29.68,4.9,21,6.0,2009-05-08,2009,5,8
752,1,63,46,55,-1,44,48,0.0,  T,29.19,29.87,6.8,29,11.8,2009-05-09,2009,5,9
754,1,67,40,54,-2,39,46,0.0,0.00,29.41,30.11,4.7,30,8.4,2009-05-10,2009,5,10
756,1,61,39,50,-7,35,44,0.0,0.00,29.47,30.20,0.7,8,4.6,2009-05-11,2009,5,11
758,1,71,39,55,-2,34,47,0.0,0.00,29.38,30.13,9.5,16,9.6,2009-05-12,2009,5,12
760,1,70,53,62, 4,56,58,0.0,0.55,29.01,29.76,14.4,19,16.4,2009-05-13,2009,5,13
762,1,68,53,61, 3,44,52,0.0,0.00,29.31,30.00,10.5,27,10.7,2009-05-14,2009,5,14
764,1,61,52,57,-1,51,54,0.0,0.39,29.28,30.00,6.0,16,8.8,2009-05-15,2009,5,15
766,1,62,45,54,-5,40,49,0.0,0.00,29.36,30.05,11.0,29,12.5,2009-05-16,2009,5,16
768,1,63,39,51,-8,27,42,0.0,0.00,29.60,30.32,0.2,33,6.2,2009-05-17,2009,5,17
770,1,66,40,53,-7,33,45,0.0,  T,29.54,30.29,9.6,19,9.9,2009-05-18,2009,5,18
772,1,80,52,66, 6,44,55,0.0,0.00,29.48,30.21,13.5,21,13.8,2009-05-19,2009,5,19
774,1,84,61,73,12,44,57,0.0,0.00,29.40,30.13,14.4,20,14.6,2009-05-20,2009,5,20
776,1,84,60,72,11,49,59,0.0,0.00,29.38,30.09,7.8,23,12.8,2009-05-21,2009,5,21
778,1,69,53,61, 0,46,53,0.0,0.00,29.46,30.18,10.4,4,10.7,2009-05-22,2009,5,22
780,1,80,50,65, 4,50,57,0.0,0.00,29.33,30.06,4.5,7,5.7,2009-05-23,2009,5,23
782,1,71,55,63, 1,46,53,0.0,0.00,29.34,30.07,10.4,4,11.0,2009-05-24,2009,5,24
784,1,67,54,61,-1,43,51,0.0,0.04,29.28,30.02,10.3,6,10.8,2009-05-25,2009,5,25
786,1,74,53,64, 2,51,55,0.0,1.73,29.08,29.82,7.5,5,7.8,2009-05-26,2009,5,26
788,1,73,55,64, 2,58,60,0.0,0.02,28.95,29.68,3.6,24,7.2,2009-05-27,2009,5,27
790,1,62,54,58,-5,51,54,0.0,0.00,29.06,29.76,6.8,30,8.1,2009-05-28,2009,5,28
792,1,74,50,62,-2,49,55,0.0,  T,29.17,29.88,2.7,32,6.9,2009-05-29,2009,5,29
794,1,79,50,65, 1,46,54,0.0,  T,29.09,29.81,2.9,27,6.8,2009-05-30,2009,5,30
796,1,73,45,59,-5,41,50,0.0,0.00,29.21,29.94,2.7,10,4.6,2009-05-31,2009,5,31
798,1,78,51,65, 1,53,57,0.0,0.44,29.19,29.89,1.2,34,11.1,2009-06-01,2009,6,1
800,1,60,48,54,-10,46,50,0.0,0.12,29.36,30.09,7.4,3,8.0,2009-06-02,2009,6,2
802,1,61,43,52,-12,39,46,0.0,0.00,29.42,30.15,10.5,4,10.7,2009-06-03,2009,6,3
804,1,68,42,55,-9,37,48,0.0,0.00,29.31,30.05,4.7,4,5.9,2009-06-04,2009,6,4
806,1,79,44,62,-3,44,54,0.0,0.00,29.18,29.91,5.8,26,6.7,2009-06-05,2009,6,5
808,1,63,51,57,-9,45,50,0.0,0.02,29.20,29.93,6.2,5,7.7,2009-06-06,2009,6,6
810,1,73,52,63,-3,53,57,0.0,0.04,29.14,29.87,2.7,8,6.9,2009-06-07,2009,6,7
812,1,80,52,66, 0,60,63,0.0,0.45,29.06,29.77,5.9,24,9.2,2009-06-08,2009,6,8
814,1,67,55,61,-5,53,56,0.0,  T,29.23,29.94,4.0,6,6.3,2009-06-09,2009,6,9
816,1,67,54,61,-6,49,53,0.0,0.01,29.15,29.89,8.0,5,8.7,2009-06-10,2009,6,10
818,1,64,53,59,-8,51,54,0.0,0.01,29.11,29.83,10.2,3,10.3,2009-06-11,2009,6,11
820,1,74,49,62,-6,49,55,0.0,  T,29.24,29.95,4.4,7,5.8,2009-06-12,2009,6,12
822,1,68,54,61,-7,51,55,0.0,0.33,29.28,30.00,5.9,5,6.7,2009-06-13,2009,6,13
824,1,77,51,64,-4,48,57,0.0,0.00,29.29,30.01,4.5,4,4.7,2009-06-14,2009,6,14
826,1,81,53,67,-1,49,58,0.0,0.00,29.28,30.01,5.5,9,6.4,2009-06-15,2009,6,15
828,1,71,59,65,-4,55,60,0.0,1.23,29.15,29.89,11.2,10,11.8,2009-06-16,2009,6,16
830,1,71,61,66,-3,59,62,0.0,0.00,29.16,29.88,3.0,36,6.2,2009-06-17,2009,6,17
832,1,80,61,71, 1,63,67,0.0,0.12,29.08,M,6.7,16,7.9,2009-06-18,2009,6,18
834,1,86,65,76, 6,67,69,0.0,3.97,28.97,29.70,7.2,18,11.6,2009-06-19,2009,6,19
836,1,87,68,78, 8,65,70,0.0,0.00,29.08,29.76,8.3,29,8.6,2009-06-20,2009,6,20
838,1,84,70,77, 7,63,68,0.0,0.01,29.12,29.82,2.8,7,3.9,2009-06-21,2009,6,21
840,1,89,68,79, 9,67,71,0.0,0.09,29.09,29.79,4.0,11,5.6,2009-06-22,2009,6,22
842,1,94,71,83,13,69,73,0.0,0.00,29.16,29.87,1.8,14,3.5,2009-06-23,2009,6,23
844,1,94,75,85,14,68,73,0.0,0.04,29.16,29.87,1.9,22,5.8,2009-06-24,2009,6,24
846,1,94,75,85,14,69,73,0.0,  T,29.08,29.80,2.4,32,4.9,2009-06-25,2009,6,25
848,1,86,69,78, 7,60,M,0.0,0.00,M,29.85,6.4,4,8.2,2009-06-26,2009,6,26
850,1,89,62,76, 5,61,67,0.0,0.30,29.10,29.82,5.1,21,6.9,2009-06-27,2009,6,27
852,1,83,66,75, 4,53,62,0.0,0.00,29.00,29.73,13.2,29,13.6,2009-06-28,2009,6,28
854,1,77,63,70,-1,54,61,0.0,0.00,28.89,29.60,12.2,30,12.7,2009-06-29,2009,6,29
856,1,66,59,63,-9,53,57,0.0,0.00,28.95,29.65,8.9,30,9.1,2009-06-30,2009,6,30
858,1,65,57,61,-11,52,56,0.0,  T,29.07,29.77,8.2,32,8.7,2009-07-01,2009,7,1
860,1,73,59,66,-6,54,60,0.0,0.00,29.26,29.95,8.4,31,8.8,2009-07-02,2009,7,2
862,1,79,63,71,-1,56,62,0.0,0.00,29.36,30.06,1.2,34,5.8,2009-07-03,2009,7,3
864,1,69,59,64,-8,58,61,0.0,0.20,29.26,29.99,1.8,13,3.8,2009-07-04,2009,7,4
866,1,81,57,69,-3,58,63,0.0,0.05,29.20,29.92,0.7,34,2.4,2009-07-05,2009,7,5
868,1,86,60,73, 1,54,62,0.0,0.00,29.14,29.86,7.5,31,7.8,2009-07-06,2009,7,6
870,1,77,59,68,-4,54,60,0.0,  T,29.18,29.89,5.9,7,7.0,2009-07-07,2009,7,7
872,1,65,61,63,-10,56,59,0.0,0.06,29.28,29.99,6.8,6,7.0,2009-07-08,2009,7,8
874,1,79,59,69,-4,57,63,0.0,0.00,29.35,30.07,5.8,11,6.9,2009-07-09,2009,7,9
876,1,82,63,73, 0,64,67,0.0,0.08,29.34,30.06,4.4,21,4.9,2009-07-10,2009,7,10
878,1,85,63,74, 1,59,65,0.0,0.25,29.34,30.04,4.8,31,7.0,2009-07-11,2009,7,11
880,1,82,58,70,-3,51,60,0.0,0.00,29.35,30.07,2.9,29,5.7,2009-07-12,2009,7,12
882,1,79,61,70,-3,46,57,0.0,0.00,29.36,30.07,4.8,7,5.8,2009-07-13,2009,7,13
884,1,80,55,68,-5,51,59,0.0,0.00,29.34,30.07,6.7,16,7.5,2009-07-14,2009,7,14
886,1,85,65,75, 1,62,67,0.0,0.68,29.18,29.90,10.0,24,12.4,2009-07-15,2009,7,15
888,1,80,64,72,-2,56,62,0.0,  T,29.17,29.89,9.9,28,10.8,2009-07-16,2009,7,16
890,1,70,57,64,-10,51,56,0.0,0.00,29.15,29.87,10.6,30,10.8,2009-07-17,2009,7,17
892,1,72,57,65,-9,52,57,0.0,0.00,29.31,30.01,8.1,31,8.2,2009-07-18,2009,7,18
894,1,71,57,64,-10,52,58,0.0,0.00,29.39,30.11,1.3,36,4.0,2009-07-19,2009,7,19
896,1,76,55,66,-8,55,60,0.0,0.00,29.36,30.09,5.1,9,5.5,2009-07-20,2009,7,20
898,1,80,58,69,-5,57,62,0.0,0.04,29.28,30.01,3.1,13,5.8,2009-07-21,2009,7,21
900,1,78,63,71,-3,61,64,0.0,  T,29.23,29.95,3.5,3,5.0,2009-07-22,2009,7,22
902,1,82,62,72,-2,58,63,0.0,0.00,29.21,29.93,2.6,32,5.0,2009-07-23,2009,7,23
904,1,83,61,72,-2,59,64,0.0,0.14,29.08,29.83,8.9,23,9.8,2009-07-24,2009,7,24
906,1,81,66,74, 0,58,64,0.0,0.00,29.02,29.73,10.6,28,11.1,2009-07-25,2009,7,25
908,1,82,63,73,-1,58,64,0.0,  T,29.13,29.82,8.0,29,8.6,2009-07-26,2009,7,26
910,1,84,64,74, 0,61,66,0.0,0.02,29.13,29.86,9.3,23,10.1,2009-07-27,2009,7,27
912,1,84,66,75, 1,60,66,0.0,0.01,29.08,29.78,6.4,28,8.0,2009-07-28,2009,7,28
914,1,81,62,72,-2,51,59,0.0,0.00,29.13,29.84,4.2,35,7.1,2009-07-29,2009,7,29
916,1,79,59,69,-5,57,62,0.0,  T,29.15,29.85,4.4,23,5.5,2009-07-30,2009,7,30
918,1,81,58,70,-4,54,61,0.0,0.00,29.23,29.94,6.2,26,7.3,2009-07-31,2009,7,31
920,1,75,61,68,-5,59,62,0.0,  T,29.18,29.91,11.6,22,11.4,2009-08-01,2009,8,1
922,1,78,57,68,-5,51,59,0.0,0.00,29.20,29.93,6.8,25,9.6,2009-08-02,2009,8,2
924,1,84,67,76, 3,60,66,0.0,0.07,29.10,29.82,12.2,21,12.4,2009-08-03,2009,8,3
926,1,85,67,76, 3,61,67,0.0,0.00,29.17,29.87,2.5,2,5.8,2009-08-04,2009,8,4
928,1,79,61,70,-3,54,61,0.0,0.00,29.34,30.05,2.9,6,4.2,2009-08-05,2009,8,5
930,1,82,60,71,-2,51,60,0.0,0.00,29.39,30.09,1.4,6,5.4,2009-08-06,2009,8,6
932,1,74,64,69,-4,59,63,0.0,0.33,29.36,30.09,7.3,15,7.8,2009-08-07,2009,8,7
934,1,89,68,79, 6,70,73,0.0,0.02,29.20,29.92,12.9,21,13.6,2009-08-08,2009,8,8
936,1,91,77,84,11,71,74,0.0,0.18,29.23,29.94,11.6,23,12.9,2009-08-09,2009,8,9
938,1,85,70,78, 5,65,69,0.0,0.00,29.24,29.95,6.9,26,7.2,2009-08-10,2009,8,10
940,1,82,62,72,-1,61,66,0.0,0.00,29.30,30.00,6.3,2,8.0,2009-08-11,2009,8,11
942,1,83,60,72,-1,55,62,0.0,0.00,29.39,30.09,3.7,4,5.9,2009-08-12,2009,8,12
944,1,86,60,73, 0,55,63,0.0,0.00,29.38,30.10,1.5,14,3.8,2009-08-13,2009,8,13
946,1,88,63,76, 4,59,66,0.0,0.00,29.38,30.10,5.4,21,5.7,2009-08-14,2009,8,14
948,1,89,67,78, 6,61,67,0.0,0.00,29.32,30.04,8.7,19,8.9,2009-08-15,2009,8,15
950,1,88,70,79, 7,67,70,0.0,0.63,29.27,29.99,9.5,20,10.2,2009-08-16,2009,8,16
952,1,83,70,77, 5,68,70,0.0,0.33,29.28,30.00,4.6,22,5.8,2009-08-17,2009,8,17
954,1,83,65,74, 2,59,65,0.0,0.00,29.28,29.99,7.5,27,8.1,2009-08-18,2009,8,18
956,1,83,59,71, 0,60,65,0.0,0.35,29.08,29.83,5.7,16,8.7,2009-08-19,2009,8,19
958,1,78,64,71, 0,61,65,0.0,0.07,28.93,29.66,12.1,23,12.5,2009-08-20,2009,8,20
960,1,73,59,66,-5,58,61,0.0,0.16,29.07,29.75,7.7,27,10.7,2009-08-21,2009,8,21
962,1,68,57,63,-8,52,56,0.0,0.00,29.31,30.00,7.8,1,9.4,2009-08-22,2009,8,22
964,1,74,56,65,-6,53,58,0.0,0.00,29.38,30.09,2.7,2,6.4,2009-08-23,2009,8,23
966,1,79,54,67,-4,56,61,0.0,0.00,29.41,30.13,3.8,21,5.1,2009-08-24,2009,8,24
968,1,83,59,71, 1,61,65,0.0,0.00,29.33,30.05,9.1,21,9.2,2009-08-25,2009,8,25
970,1,73,62,68,-2,62,64,0.0,0.93,29.36,30.08,5.2,2,7.8,2009-08-26,2009,8,26
972,1,67,61,64,-6,60,61,0.0,0.95,29.36,30.08,9.1,7,9.7,2009-08-27,2009,8,27
